Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-pghd-heart-electrocardiogram.json	2615	4	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	3	0	0	0	343	493	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-heartbeat.json	2269	15	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	0	83	452	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-heartrate.json	1986	12	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	1	0	0	0	82	414	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-medication-adherence.json	1813	15	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	64	268	0	0	0	2	0	0	1
fsh-generated/resources/Observation-pghd-mindfulness-mindful-session.json	1819	7	0	0	0	0	0	0	8	73	0	0	0	0	0	0	0	0	0	0	0	115	381	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-mobility-stair-descent-speed.json	1790	15	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	351	265	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-nutrition-dietary-carbohydrates.json	1959	20	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	0	0	0	0	121	288	0	0	0	1	0	0	2
fsh-generated/resources/Observation-pghd-nutrition-dietary-energy-consumed.json	1860	16	0	0	2	0	0	0	1	57	0	0	0	0	0	0	0	0	0	0	0	239	658	0	0	0	1	0	0	2
fsh-generated/resources/Observation-pghd-nutrition-dietary-fiber.json	1945	11	0	0	1	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	391	941	0	0	0	3	0	1	2
fsh-generated/resources/Observation-pghd-nutrition-dietary-protein.json	1949	21	0	0	1	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	289	2325	0	0	0	0	0	0	2
fsh-generated/resources/Observation-pghd-oxygenSaturation.json	2026	13	0	1	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	141	1987	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-pregnancy-status.json	1936	9	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	125	524	0	0	0	0	0	0	1
fsh-generated/resources/Observation-pghd-reproductive-health-intermenstrual-bleeding.json	1811	6	0	0	1	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	162	450	0	0	0	1	1	0	1
fsh-generated/resources/Observation-pghd-respiratoryrate.json	2010	7	0	0	0	0	0	0	0	1168	0	0	0	0	0	0	0	0	0	0	0	87	311	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-selfcare-handwashingEvent.json	1828	10	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	0	150	461	0	0	0	0	0	0	0
